Channel,Creative Size,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
Nashville Local sx,728x90,0,5,0,5
arizona opera top converters sx,160x600,4,13,4,9
maryland-dc sx,160x600,3,7,2,5
mogo marks perf arts sx 6,300x50,0,8,0,8
mogo mba tier 2 sx,320x100,1,0,0,0
Android Top Selling Free Music and Audio,300x250,154,12,7,5
DCPA video local sx,300x600,0,3,0,3
Mercury Theater Chicago sx,300x250,55,39,23,16
mogo marks agg sx xsl37589,250x250,6,25,0,25
mogo marks video branding medium reach tail aggregate sx,250x250,6,11,0,11
ttd female sx,320x50,1608,3632,522,3110
ttd music sx,250x250,0,1,0,1
Android Top Selling Free Sports,320x50,198,13,7,6
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,160x600,5188,21192,1621,19571
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,970x90,18,25,0,25
debartolo local site list,728x90,0,7,0,7
dso custom hx,320x50,12,359,12,347
fgu test public channel,300x250,1056,3518,309,3209
mogo marks ttd obx kitchen premium sink sx,300x50,141,4205,135,4070
mogo marks xsl_74205 (2p dims) sx ,300x50,16,453,18,435
ttd entertainment sx,320x50,5066,7795,1557,6238
/All Apps/Google Play/Games,300x250,265,36,34,2
kid safe sx,250x250,1,1,0,1
mogo marks houston sx,160x600,0,2,0,2
mogo marks native (sharethrough) unique us sx,200x200,0,1,0,1
mogo marks native sx xsl1045 class c,970x90,1,7,0,7
mogo marks xsl_74205 (4p dims) sx ,300x250,3050,9039,966,8073
/All Apps/Apple App Store,728x90,3327,275,252,23
Lynn Grad,160x600,62,135,27,108
mogo marks video branding extended reach tail aggregate sx,300x50,107,3681,87,3594
mogo marks xsl66781 sx,970x90,2,4,0,4
/All Apps/Apple App Store/Travel,300x50,10,0,0,0
/All Apps/Google Play/Games/Card,728x90,23,3,3,0
Android Top Selling Free Entertainment,300x50,11,0,0,0
Diablo Blacklist ,160x600,0,22,0,22
ttd gaming sx,728x90,463,806,164,642
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,300x50,134,3981,118,3863
Duxiana - KPI sx,160x600,71,3,2,1
mogo financial services kpi sx,300x250,3402,10800,870,9930
mogo marks branding elite tier sx xls37852,300x600,81,515,42,473
mogo marks native high reach tail aggregate sx,300x600,3765,15457,1357,14100
mogo marks video sx xsl44760 class c,300x600,2580,7512,911,6601
mogo marks xsl_74205 (2p dims) sx ,320x50,4583,6556,1280,5276
mogo mba tier 2 sx,336x280,0,1,0,1
sfoc pslx 2018 sx (Jun_2018),970x250,73,377,64,313
/All Apps/Google Play/Communication,300x600,12,0,0,0
/All Apps/Google Play/Games/Adventure,728x90,2,0,0,0
/All Apps/Google Play/Transportation,320x50,17,4,4,0
/All Apps/Google Play/Transportation,728x90,1,0,0,0
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,970x90,26,29,0,29
mogo marks san francisco sx,300x600,71,298,31,267
mogo t1 brand sx,320x50,9042,11256,4610,6646
/All Apps/Google Play/Tools,728x90,1,0,0,0
Stratford KPI sx,300x600,1,3,0,3
mogo marks native standard reach (no) tail aggregate sx,970x90,11,13,0,13
mogo marks natl cat-aff-im sx,300x600,1130,3938,459,3479
at atlanta sx,300x250,4,58,3,55
mogo black rt sx,320x50,6,2,0,2
mogo marks lal branding (All) silver sx,468x60,0,3,0,3
mogo marks xsl_800p sx,320x50,22135,33937,8593,25344
mogo music sx,320x100,1,0,0,0
DO NOT USE Invite US Expandable Enabled Sites,320x100,0,3,0,3
Nashville Local sx,300x600,2,53,6,47
mogo marks branding drhbx silver sx,336x280,3,17,1,16
mogo marks video branding max reach tail aggregate sx,320x50,28817,38440,10510,27930
mogo mba tier 2 sx,300x250,1566,3558,484,3074
/All Apps/Apple App Store/Weather,728x90,82,2,2,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,250x250,9,21,0,21
Mogo DBM premium video sx,Unknown,575,35,0,35
mogo education sx,320x100,19,17,7,10
mogo marks classical music sx,160x600,2,13,2,11
mogo marks high intenders sx,300x50,0,23,0,23
mogo marks los angeles sx,300x50,0,5,0,5
/All Apps/Apple App Store/Games/Casino,970x250,17,0,0,0
/All Apps/Google Play,320x50,6717,742,512,230
mogo marks branding comp rate silver video sx,336x280,0,1,0,1
mogo marks native medium reach tail aggregate sx,336x280,6,17,3,14
sfoc kpi sx (acquisition 2019),320x50,107,490,77,413
Android Top Selling Free News and Magazines,300x50,5,0,0,0
Greg's GG KPI + relevant sites list,300x600,3,2,1,1
ttd beauty sx,300x250,45,200,6,194
/All Apps/Google Play/Games/Casual,336x280,2,0,0,0
/All Apps/Google Play/Games/Racing,300x600,11,0,0,0
mogo sf local sx,300x250,216,789,123,666
DCPA rt black sx,970x250,1,1,1,0
DO NOT USE Invite US Expandable Enabled Sites,970x90,2,2,0,2
Duxiana- Bad Site List(Allan) ,728x90,7,0,0,0
mogo marks bw-theatre sx,160x600,2,19,2,17
mogo marks lal branding (All) platinum sx,336x280,1,7,0,7
/All Apps/Apple App Store/Business,728x90,65,3,0,3
Chicago T1 sites,300x600,9,6,3,3
DO NOT USE Invite December Brand Safe List,320x50,15622,21122,6502,14620
mogo marks classical music sx,300x600,0,1,0,1
mogo marks lal (purchase) silver sx,336x280,2,17,0,17
mogo marks native (sharethrough) unique us sx,728x90,1010,6476,319,6157
mogo marks perf arts sx 6,300x250,312,1394,137,1257
mogo education sx,970x90,2,3,0,3
mogo marks high intenders sx,320x100,15,64,9,55
mogo marks video sx xsl44760 class b,970x250,554,542,107,435
/All Apps/Google Play/Media & Video,300x250,2,0,0,0
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,160x600,1830,6668,486,6182
DO NOT USE Rubicon,320x50,191,448,68,380
DO NOT USE Tier 3 (2),336x280,0,6,0,6
mogo marks pav kpi sx,320x50,358,979,121,858
mogo marks perf arts sx 11,300x250,288,1330,128,1202
mogo marks shakespeare sx,728x90,4,13,1,12
mogo marks ttd obx kitchen premium sink sx,300x250,14057,47342,4261,43081
sfoc stratford hqcat sx,728x90,17,206,15,191
ttd kids sx,320x50,526,469,116,353
/All Apps/Apple App Store/Business,300x50,2,0,0,0
/All Apps/Apple App Store/Games/Role Playing,728x90,13,2,2,0
mogo marks lal branding (All) platinum sx,970x250,183,553,90,463
mogo marks native standard reach (no) tail aggregate sx,468x60,0,1,0,1
mogo marks opera sx,160x600,2,11,1,10
ttd auto sx,970x90,1,0,0,0
ttd entertainment sx,300x250,3221,8952,1019,7933
/All Apps/Apple App Store/Newsstand/News & Politics,300x250,283,15,7,8
/All Apps/Google Play/Games/Casual,728x90,18,2,2,0
ttd female sx,300x250,656,3488,193,3295
/All Apps/Google Play/Sports,300x600,3,0,0,0
DO NOT USE Invite December Brand Safe List,300x50,100,3040,85,2955
DO NOT USE Tier 3* (CHANNEL),300x250,3768,14058,1095,12963
mogo marks denver sx,970x250,3,11,4,7
mogo marks kpi mdx sx xls9297,320x50,1713,4839,618,4221
mogo marks lal (purchase) silver sx,728x90,3648,22127,1063,21064
mogo marks native (sharethrough) unique us sx,300x50,32,895,20,875
Pac Fox Atlanta EXCLUSION List,970x250,23,20,5,15
allan- UOC  high click rate /  converter list ,728x90,0,4,0,4
dso custom hx,300x250,1,61,1,60
/All Apps/Apple App Store/Games/Trivia,300x250,1,0,0,0
/All Apps/Apple App Store/Reference,300x600,17,0,0,0
Android Top Selling Free Game,320x50,4237,671,619,52
Android Top Selling Free Game,728x90,99,15,14,1
Android Top Selling Free Photography,970x250,1,1,1,0
DO NOT USE Tier 3 (2),970x250,5,13,1,12
mogo centro sx US (2014),300x600,416,901,147,754
mogo marks xsl_800p sx,320x100,104,190,47,143
/All Apps/Apple App Store,320x100,1,0,0,0
/All Apps/Google Play/Music & Audio,300x250,147,7,3,4
/All Apps/Apple App Store/Utilities,300x600,7,1,1,0
DO NOT USE Mobile - MoPub - Beauty & Fitness/Fitness,320x50,5,1,1,0
DO NOT USE OAM UK,728x90,20,74,4,70
mogo marks denver sx,300x250,81,313,38,275
mogo marks native (sharethrough) unique can sx,300x50,31,783,19,764
ttd gaming sx,320x100,4,0,0,0
Android Top Selling Free Weather,320x50,1315,367,287,80
BR Native sx,300x600,11,42,1,41
Brandcast Blacklist ,300x250,1682,6980,459,6521
GG KPI sx,300x600,7,2,0,2
mogo marks video branding max reach tail aggregate sx,250x250,6,12,0,12
mogo marks xsl_74205 (2p dims) sx ,728x90,1231,3868,205,3663
/All Apps/Google Play/News & Magazines,300x600,21,4,4,0
mogo marks branding tier 1 sx xls37852,200x200,0,2,0,2
mogo marks coupon sx,320x50,6,14,1,13
mogo marks ttd obx kitchen premium sink sx,970x250,1891,3384,639,2745
ttd travel sx,300x600,472,908,114,794
/All Apps/Apple App Store/Navigation,300x250,1,0,0,0
Mogo DBM basic video sx,160x600,20,138,7,131
dso kpi audx sx,300x600,0,13,2,11
mogo marks lal branding (All) silver sx,320x50,14909,25109,6409,18700
mogo marks natl cat-aff-im sx,300x50,9,229,6,223
mogo marks outbound kpi sx x1a,728x90,288,1321,93,1228
mogo marks pav kpi sx 3,300x600,87,585,38,547
mogo perf arts sx,320x50,244,901,96,805
mogo t1 brand sx,970x250,1232,2097,393,1704
/All Apps/Apple App Store/Entertainment,300x50,21,0,0,0
/All Apps/Google Play/Entertainment,300x50,1,0,0,0
mogo marks kpi mdx sx xls9297,336x280,0,2,0,2
mogo marks playbill 5 sx x9z,728x90,16,103,10,93
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,250x250,6,8,0,8
DO NOT USE Tier 2,300x250,1414,7100,401,6699
Fan Extender IMG/Sidearm Blacklist,320x50,6,3,3,0
mogo canada t1 sx,320x50,4958,7858,3617,4241
mogo marks branding tier 3 sx xls37852,300x600,1472,6195,517,5678
mogo marks pav kpi sx,970x250,51,185,61,124
ttd kids sx,728x90,198,529,120,409
/All Apps/Apple App Store/Games/Puzzle,300x50,13,0,0,0
/All Apps/Apple App Store/Games/Word,300x600,1583,242,234,8
DO NOT USE Invite December Brand Safe List,728x90,3440,13379,1104,12275
DO NOT USE Mobile - MoPub - Computers & Electronics/Software/Multimedia Software/Audio & Music Software,728x90,4,0,0,0
DO NOT USE Tier 1* (CHANNEL),160x600,1040,7786,398,7388
mogo cult soph sx,320x50,5779,7082,3793,3289
mogo marks phoenix sx,320x50,81,149,40,109
mogo sports sx,300x50,19,72,7,65
/All Apps/Apple App Store/Games/Adventure,728x90,3,0,0,0
/All Apps/Google Play/Games/Action,300x250,35,6,6,0
DO NOT USE Rubicon,970x250,2,7,2,5
PAC Singapore sx,300x600,12,12,2,10
mogo lydia peacecenter test,250x250,0,4,0,4
mogo marks branding comp rate gold video sx,300x250,6638,17499,1944,15555
/All Apps/Apple App Store/Games/Educational,300x600,4,0,0,0
mogo marks branding drhbx gold sx,160x600,292,2059,84,1975
mogo marks t1 brand kpi sx x8t,320x50,692,2907,273,2634
/All Apps,336x280,8,7,7,0
/All Apps/Google Play/Photography,320x50,90,5,5,0
fgu test public channel,300x600,9,14,3,11
mogo marks xsl_74205 (4p dims) sx ,300x600,632,3434,283,3151
ttd health sx,970x90,2,2,0,2
/All Apps/Google Play/Games/Casino,320x50,10,5,4,1
Belmont Sitelist v1,300x250,47,147,34,113
Duxiana Broadcast blacklist,728x90,1,0,0,0
Mercury Theater Chicago sx,300x600,15,22,11,11
Western Black sx,300x250,19,917,12,905
mogo marks sports sx,728x90,234,795,31,764
/All Apps/Google Play/Games,300x600,742,207,190,17
mogo mba tier 2 sx,970x250,503,1147,205,942
/All Apps/Google Play/Games/Card,300x50,1,0,0,0
mogo marks lal branding (All) gold sx,320x100,23,81,4,77
mogo t1 brand sx,300x50,51,766,40,726
ttd beauty sx,970x250,4,3,0,3
ttd gaming sx,300x50,5,190,4,186
/All Apps/Apple App Store,300x50,49,2,0,2
DO NOT USE OAM UK,300x50,0,29,0,29
mogo marks natl cat-aff-im sx 3,300x250,2023,5787,701,5086
mogo mba tier 1 sx,300x50,5,89,2,87
DO NOT USE Tier 2* (CHANNEL),320x50,2504,4418,672,3746
DSM African American sx,160x600,0,1,0,1
Performing Arts Fort Worth Test List,970x250,8,10,6,4
mogo marks dallas sx,300x50,0,7,0,7
mogo marks kpi mdx sx xls9297,320x100,7,22,1,21
mogo marks perf arts sx 2,300x250,1628,3983,569,3414
ttd real estate sx,728x90,2,23,1,22
/All Apps/Apple App Store/Finance,728x90,15,0,0,0
RCU Blacklist Sites (CPA),300x600,0,1,0,1
mogo marks lal branding (All) gold sx,468x60,0,3,0,3
mogo marks travel sx,300x600,18,133,1,132
mogo marks wsj sx x4v,728x90,7,17,4,13
ttd music sx,970x90,1,0,0,0
Lynn Grad,320x50,16,51,6,45
mogo canada t1 sx,300x50,5,112,5,107
mogo marks native sx xsl1045 class b,336x280,1,0,0,0
pac motorsports sx,300x250,1053,3018,305,2713
Android Top Selling Free Social,320x50,2352,99,79,20
mogo marks natl elite cat-aff-im sx,728x90,244,2151,92,2059
mogo marks perf arts platinum sx,336x280,0,1,0,1
ttd news sx,728x90,1567,6036,637,5399
mogo marks branding comp rate platinum video sx,300x250,5423,13259,1598,11661
mogo marks perf arts sx 7,300x50,1,26,1,25
mogo marks video branding medium reach tail aggregate sx,970x90,21,22,0,22
mogo marks nyc sx,300x250,1271,2283,414,1869
mogo marks perf arts sx 2,160x600,87,677,34,643
sfoc marks kpi sx (062018),300x600,15,260,21,239
Duxiana - Longtail Blacklist,728x90,18,1,0,1
mogo marks ballet sx,728x90,5,10,3,7
mogo marks high intenders sx,300x600,116,619,67,552
mogo marks lal (purchase) gold sx,336x280,1,11,0,11
pac canada sports sx,320x100,2,9,0,9
sfoc 2018 marks stratford premium sx,300x250,234,2861,206,2655
ttd food sx,160x600,23,310,5,305
DO NOT USE,300x250,1,0,0,0
DO NOT USE OAM FR,320x100,0,4,0,4
mogo marks branding comp rate silver video sx,200x200,0,1,0,1
mogo marks branding drhbx silver sx,200x200,0,3,0,3
mogo marks pav kpi hx,160x600,119,461,32,429
zt local austin sx,300x600,1,1,0,1
/All Apps,300x50,160,10,4,6
/All Apps/Google Play/Lifestyle,320x50,77,5,3,2
DO NOT USE Tier 3,320x100,63,146,24,122
DO NOT USE Tier 3* (CHANNEL) (2),300x50,5,181,4,177
mogo marks native medium reach tail aggregate sx,200x200,0,2,0,2
mogo marks video sx xsl44760 class a,728x90,856,575,62,513
pac motorsports sx,160x600,5,1,0,1
ttd shopping sx,320x100,1,1,0,1
/All Apps/Apple App Store/Games/Action,300x600,8,0,0,0
/All Apps/Apple App Store/Games/Card,320x50,108,1,1,0
Android Top Selling Free News and Magazines,300x600,28,5,2,3
DO NOT USE Tier 1,200x200,0,1,0,1
Portland Center Stage Perf Arts 5 black sx,300x600,1,0,0,0
SP News Black sx,728x90,10,79,8,71
mogo marks los angeles sx,300x250,50,57,12,45
mogo marks wedding sx,160x600,0,2,0,2
Mogo DBM basic video sx,970x250,34,20,4,16
mogo marks lal (purchase) platinum sx,250x250,0,1,0,1
mogo marks native standard reach (no) tail aggregate sx,250x250,4,5,0,5
mogo marks perf arts sx 5 epx1,320x50,237,1124,112,1012
/All Apps/Apple App Store/News,300x600,254,2,1,1
Brandcast Blacklist ,970x90,0,1,0,1
DO NOT USE Mobile - MoPub - Online Communities,300x600,4,1,1,0
DO NOT USE Tier 3* (CHANNEL),160x600,1766,6723,429,6294
NYPR whitelist sx (Advertiser Level),300x600,0,6,0,6
mogo centro sx US (2014),160x600,96,371,29,342
mogo marks branding increased reach sx,336x280,23,65,5,60
Pac Private Events/Wedding sx,300x600,4,31,0,31
mogo marks t1 brand sx trim,320x100,39,66,11,55
/All Apps,300x600,5959,928,859,69
Cal Perf KPI sx ,728x90,19,21,0,21
ttd auto sx,970x250,1,3,0,3
ttd shopping sx,728x90,179,969,53,916
ttd tech sx,336x280,0,6,0,6
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,970x250,1815,3371,566,2805
DO NOT USE Spanish Language Sites,300x250,54,284,8,276
LSSU url v1,728x90,5,93,2,91
education master sx,336x280,2,2,1,1
mogo marks kpi achievers sx,300x250,1576,3978,543,3435
at atlanta sx,300x600,0,1,0,1
mogo marks t1 brand sx trim,336x280,2,2,1,1
mogo marks travel sx,320x50,133,460,25,435
mogo marks xsl_ks20780 sx,200x200,0,3,0,3
/All Apps/Apple App Store/Newsstand,728x90,97,5,1,4
mogo black sx,970x250,14,21,6,15
mogo centro sx US (2014),320x100,44,38,16,22
mogo marks branding tier 3 sx xls37852,300x50,39,1775,41,1734
mogo marks native sx xsl1045 class b,250x250,2,0,0,0
mogo marks perf arts sx 6,160x600,77,581,30,551
mogo marks ttd obx kitchen premium sink sx,160x600,3162,10747,963,9784
pac motorsports sx,728x90,246,1001,44,957
Provident High CTR List ,970x250,1,0,0,0
mogo marks t1 brand kpi sx x8t,320x100,12,21,7,14
/All Apps/Apple App Store/Games/Word,300x50,1,0,0,0
/All Apps/Google Play/Social,300x250,120,18,14,4
ttd spanish sx,300x50,0,22,3,19
/All Apps/Google Play/Weather,728x90,11,0,0,0
DO NOT USE OAM FR,728x90,0,1,0,1
DO NOT USE Tier 1* (CHANNEL),Unknown,575,35,0,35
DO NOT USE Tier 1* (CHANNEL),468x60,0,1,0,1
LSSU url v1,320x50,184,263,90,173
Performing Arts Fort Worth Top sx,970x250,7,9,2,7
mogo marks travel sx,300x50,0,2,0,2
pac canada sports sx,320x50,1101,1504,233,1271
mogo marks branding comp rate platinum video sx,300x50,2,91,2,89
mogo marks chicago sx,300x250,60,225,20,205
mogo marks elite kpi achievers sx,320x100,15,16,7,9
pac canada sports sx,728x90,344,2268,71,2197
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,300x100,1,0,0,0
DO NOT USE Tier 3,320x50,10761,14251,3021,11230
mogo marks broadwayworld sx,728x90,13,25,2,23
ttd entertainment sx,160x600,362,1279,110,1169
ttd shopping sx,320x50,231,683,52,631
DO NOT USE Spanish Language Sites,300x600,2,1,1,0
mogo marks kpi achievers sx,300x600,364,554,116,438
mogo marks xsl_74205 sx ,300x600,1197,5151,483,4668
Android Top Selling Free Travel and Local,320x50,13,0,0,0
DO NOT USE Tier 3,728x90,2235,12499,865,11634
dso custom hx,160x600,0,8,0,8
mogo marks cincinnati sx,300x250,15,49,6,43
mogo marks t1 brand sx trim,970x250,1208,2066,384,1682
mogo t1 brand sx,200x200,0,1,0,1
sfoc hqcat black hx,970x250,1,2,0,2
/All Apps/Google Play/Music & Audio,300x50,3,0,0,0
Android Top Selling Free Entertainment,728x90,45,7,6,1
Android Top Selling Free Game,300x600,1051,245,220,25
Seattle Local sx,300x250,17,12,0,12
/All Apps/Google Play/Games/Puzzle,728x90,24,1,1,0
Android Top Selling Free Tools,320x50,40,6,6,0
mogo marks kpi mdx sx xls9297,300x600,580,2682,261,2421
mogo marks natl cat-aff-im sx 3,970x250,551,1499,294,1205
/All Apps/Apple App Store/Sports,300x50,1,0,0,0
/All Apps/Apple App Store/Travel,728x90,16,1,1,0
Belmont Sitelist v1,728x90,65,271,138,133
Brandcast Blacklist ,300x50,16,1142,16,1126
Western Black sx,970x250,5,46,2,44
mogo lydia peacecenter test,320x50,8594,9542,4509,5033
mogo marks xsl_ks20780 sx,160x600,4530,19264,1388,17876
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,320x50,19015,26948,7277,19671
mogo marks perf arts sx 5 epx1,160x600,83,685,33,652
mogo marks video branding extended reach tail aggregate sx,728x90,4445,22247,1536,20711
/All Apps/Apple App Store/Health & Fitness,300x600,1,0,0,0
/All Apps/Google Play/Games/Card,160x600,1,0,0,0
/All Apps/Google Play/Games/Role Playing,728x90,5,0,0,0
Arvada local sx,320x50,5,16,0,16
mogo marks branding increased reach sx,300x100,1,0,0,0
mogo marks branding tier 1 sx xls37852,728x90,5291,26654,1588,25066
mogo marks pav kpi sx,336x280,0,1,0,1
mogo marks perf arts sx 2,970x250,477,1185,241,944
mogo marks ticketing sx,728x90,9,126,4,122
mogo mba tier 1 sx,160x600,0,2,0,2
mogo t1 brand sx,160x600,497,1661,148,1513
/All Apps/Apple App Store/Entertainment,320x50,1569,47,25,22
/All Apps/Apple App Store/Games/Arcade,728x90,12,1,1,0
Android Top Selling Free Education,320x50,43,1,1,0
DO NOT USE OAM UK,160x600,41,284,11,273
mogo marks xsl_ks0001 sx,728x90,5979,25460,1831,23629
mogo sports sx,728x90,246,945,38,907
ttd food sx,970x250,21,87,10,77
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,120x600,1,0,0,0
DO NOT USE AppNexus - Collective Media,300x250,3085,9978,1006,8972
DO NOT USE Mobile - MoPub - People & Society,320x50,27,1,1,0
dbm native sx (adx),320x100,21,35,16,19
mogo marks bwwpb sx,300x250,274,1272,124,1148
mogo marks lal (purchase) platinum sx,300x50,6,366,2,364
sfjazz travel sx,300x250,12,26,2,24
sfoc pslx 2018 sx (Jun_2018_Archived),300x600,218,1788,196,1592
ttd male sx,300x600,293,1059,94,965
/All Apps/Apple App Store/Games/Puzzle,320x50,589,30,16,14
/All Apps/Apple App Store/Games/Simulation,320x50,15,0,0,0
Brandcast Blacklist ,250x250,0,2,0,2
mogo biz-fi sx,300x250,1896,4180,596,3584
mogo marks broadway sx,300x250,319,1388,141,1247
mogo marks natl canada cat-aff-im sx,320x100,0,4,0,4
mogo marks perf arts platinum sx,300x250,334,1655,159,1496
mogo marks stratford (canada) sx,300x250,2,116,1,115
ttd health sx,320x50,816,3245,297,2948
ttd sports sx,300x600,92,272,30,242
/All Apps/Apple App Store/Utilities,320x50,191,8,5,3
/All Apps/Apple App Store/Utilities,728x90,80,2,0,2
Cal Perf KPI sx ,300x600,30,7,0,7
mogo marks pav kpi sx 3,728x90,196,1547,81,1466
mogo marks perf arts platinum sx,970x250,47,182,61,121
ttd shopping sx,300x600,30,161,14,147
Android Top Selling Free Social,300x50,50,0,0,0
DO NOT USE Tier 3,300x600,1118,5317,325,4992
mogo marks native sx xsl1045 class b,970x250,414,241,23,218
mogo marks playbill sx x3e,970x250,9,44,5,39
mogo marks video branding max reach tail aggregate sx,160x600,4166,17215,1300,15915
BR Native sx,728x90,2,23,0,23
DO NOT USE Mobile - MoPub - Arts & Entertainment/Entertainment Industry/Recording Industry,728x90,4,0,0,0
DO NOT USE OAM FR,300x600,0,6,0,6
mogo marks broadwayworld sx,300x250,135,683,65,618
provident shortlist ,200x200,0,1,0,1
/All Apps/Google Play/Weather,300x250,12,4,1,3
dso kpi audx sx,728x90,0,19,0,19
mogo marks broadway sx,970x250,24,130,52,78
mogo marks natl cat-aff-im sx,320x100,12,21,7,14
mogo marks natl elite cat-aff-im sx,300x50,5,85,2,83
Cal Performances Perf Arts 5 5 black sx,300x250,8,2,0,2
DO NOT USE Tier 2* (CHANNEL),300x50,27,1810,17,1793
DO NOT USE Tier 3* (CHANNEL),250x250,0,9,0,9
GG KPI sx,728x90,5,12,0,12
mogo marks branding elite tier sx xls37852,320x100,1,12,0,12
mogo marks native high reach tail aggregate sx,320x100,117,182,50,132
mogo marks video sx xsl44760 class c,320x100,71,101,28,73
DO NOT USE Microsoft Bin (001),300x600,37,19,1,18
allan- UOC  high click rate /  converter list ,300x250,0,8,0,8
co top 41 converting,300x600,4,9,0,9
fgu test public channel,320x50,29,43,3,40
mogo marks xsl_74205 (2p dims) sx ,970x250,1059,2046,389,1657
ttd sports sx,970x90,1,2,0,2
/All Apps/Apple App Store/Games/Role Playing,300x250,1,0,0,0
Android Top Selling Free Music and Audio,320x50,401,25,13,12
Mercury Theater Chicago sx,320x50,19,26,10,16
mogo marks lal (purchase) silver sx,300x250,9386,39782,3000,36782
mogo marks lal branding (All) platinum sx,300x250,933,5667,377,5290
mogo marks ttd obx kitchen premium sink sx,200x200,0,3,0,3
sfoc hqcat black hx,728x90,0,2,0,2
Android Top Selling Free Photography,300x250,90,26,23,3
Western Black sx,728x90,18,425,3,422
mogo marks xsl_74205 (4p dims) sx ,320x50,1901,4857,653,4204
ttd male sx,970x90,1,2,0,2
/All Apps/Google Play/Games/Board,300x600,8,0,0,0
Android Movers and Shakers,300x250,100,34,31,3
Android Top Selling Free Music and Audio,728x90,3,0,0,0
Cal Perf KPI sx ,160x600,4,1,0,1
ttd auto sx,160x600,4,12,0,12
ttd shopping sx,160x600,24,164,3,161
/All Apps/Google Play/Games,320x50,1674,274,235,39
DO NOT USE OAM UK,970x250,42,55,11,44
DO NOT USE Tier 3 (2),300x250,295,1922,104,1818
LSSU url v1,160x600,1,56,1,55
Pac Private Events/Wedding sx,250x250,0,1,0,1
mogo marks native high reach tail aggregate sx,300x50,200,5660,157,5503
mogo marks outbound kpi sx x1a,970x250,534,1267,251,1016
mogo marks perf arts gold sx,300x50,0,7,0,7
mogo marks video branding max reach tail aggregate sx,300x250,16195,53801,4739,49062
Android Top Selling Free Books and Reference,300x600,47,10,9,1
DO NOT USE AppNexus - Collective Media,200x200,0,1,0,1
PAC Singapore Rugby sx,320x50,2,13,0,13
Performing Arts Fort Worth Test List,320x50,2,33,3,30
iab aff-im black sx,320x50,2,1,0,1
mogo marks perf arts sx 5 rx1,336x280,0,1,0,1
mogo marks perf arts sx 7,300x600,9,69,3,66
mogo marks phoenix sx,300x250,140,183,60,123
/All Apps/Apple App Store/Games/Adventure,300x250,1,0,0,0
/All Apps/Google Play/Games/Strategy,320x50,10,0,0,0
Performing Arts Fort Worth Test List,728x90,1,25,0,25
gostanford.com,728x90,0,1,0,1
magic theatre top performing sx,160x600,2,14,2,12
mogo marks natl cat-aff-im sx 3,970x90,2,4,0,4
mogo marks pav kpi sx 2,336x280,0,2,0,2
mogo marks t1 brand kpi sx x8t,300x250,3809,10147,1228,8919
/All Apps/Google Play/Games/Board,728x90,6,1,1,0
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,300x100,1,0,0,0
DO NOT USE Tier 1,970x90,11,12,1,11
dso kpi audx sx,970x250,0,29,0,29
mogo cult soph sx,300x250,3274,8779,1010,7769
ttd travel sx,728x90,417,1212,72,1140
BR Native sx,970x250,23,51,8,43
GG KPI sx,970x250,1,1,1,0
mogo marks xsl_ks20780 sx,300x600,5479,22594,2012,20582
DO NOT USE Tier 2,970x250,74,77,11,66
Performing Arts Fort Worth Test List,300x250,19,101,12,89
iab aff-im black sx,300x250,5,2,0,2
mogo marks branding drhbx platinum sx,160x600,72,431,14,417
mogo marks lal branding (All) silver sx,320x100,77,155,33,122
/All Apps/Google Play/Games/Strategy,300x250,1,0,0,0
DCPA video local sx,728x90,4,60,2,58
PAC Singapore Rugby sx,300x250,10,12,0,12
mogo marks branding increased reach sx,300x600,6031,24264,2142,22122
mogo marks native sx xsl1045 class b,300x50,13,378,6,372
mogo marks playbill sx x3e,300x50,0,2,0,2
mogo marks branding comp rate gold video sx,970x250,1232,2041,356,1685
mogo marks lal (purchase) platinum sx,320x50,3710,5532,3240,2292
mogo marks perf arts sx 2,336x280,0,1,0,1
mogo perf arts sx,320x100,1,4,0,4
ttd tech sx,300x600,164,604,32,572
DO NOT USE Microsoft Bin (001),300x250,1404,3196,331,2865
mogo marks branding drhbx gold sx,970x90,10,13,1,12
mogo marks sports sx,970x90,1,4,0,4
mogo marks video branding medium reach tail aggregate sx,160x600,3835,15918,1212,14706
ttd music sx,160x600,312,1053,70,983
Android Top Selling Free Weather,320x100,1,3,3,0
Chicago T1 sites,970x250,58,93,44,49
education master sx,300x600,628,2900,216,2684
mogo marks native standard reach (no) tail aggregate sx,320x50,18177,24330,7638,16692
/All Apps,320x50,10151,838,563,275
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,468x60,0,1,0,1
